numero_run,collimatore131x,collimatore131y,collimatore386x,collimatore386y
21033,-5,5,-2,2
21034,-5,5,-2,2
21035,-5,5,-2,2
21036,-5,5,-2,2
21037,-5,5,-2,2
21038,-5,5,-2,2
21039,-5,5,-2,2
21040,-5,5,-2,2
21041,-5,5,-2,2
21042,-5,5,-2,2
21043,-5,5,-2,2
21044,-5,5,-2,2
21045,-5,5,-2,2
21046,-5,5,-2,2
21047,-5,5,-2,2
21048,-5,5,-2,2
21049,-5,5,-2,2
21051,-3,3,-2,2
21052,-3,3,-2,2
21053,-5,5,-2,2
21054,-3,3,-3,3
21055,-3,3,-3,3
21056,-3,3,-3,3
21057,-3,3,-3,3
21058,-3,3,-3,3
21059,-3,3,-3,3
21060,-3,3,-3,3
21061,-3,3,-3,3
21062,-3,3,-3,3
21063,-3,3,-3,3
21064,-3,3,-3,3
21065,-3,3,-3,3
21066,-3,3,-3,3
21067,-3,3,-3,3
21071,-3,3,-3,3
21073,-3,3,-3,3
21074,-3,3,-3,3
21075,-3,3,-3,3
21076,-3,3,-3,3
21077,-3,3,-3,3
21078,-3,3,-3,3
21079,-3,3,-3,3
21080,-3,3,-3,3
21081,-3,3,-3,3
21082,-3,3,-3,3
21083,-10,10,-10,10
21084,-10,10,-10,10
21085,-10,10,-10,10
21086,-10,10,-10,10
21087,-10,10,-10,10
21088,-10,10,-10,10
21089,-10,10,-10,10
21090,-10,10,-10,10
21091,-10,10,-10,10
21092,-10,10,-10,10
21093,-10,10,-10,10
21094,-10,10,-10,10
21095,-10,10,-10,10
21096,-10,10,-10,10
21097,-10,10,-10,10
21098,-10,10,-10,10
21099,-10,10,-10,10
21100,-3,3,-3,3
21101,-3,3,-3,3
21102,-3,3,-3,3
21103,-3,3,-3,3
21104,-3,3,-3,3
21105,-3,3,-3,3
21108,-3,3,-3,3
21109,-3,3,-3,3
21110,-3,3,-3,3
21111,-3,3,-3,3
21112,-5,5,-2,2
21113,-5,5,-2,2
21115,-5,5,-2,2
21116,-5,5,-2,2
21117,-5,5,-2,2
21118,-5,5,-2,2
21119,-5,5,-2,2
21120,-3,3,-3,3
21121,-3,3,-3,3
21122,-3,3,-3,3
21123,-3,3,-3,3
21124,-5,5,-2,2
21125,-5,5,-2,2
21126,-5,5,-2,2
21127,-5,5,-2,2
21128,-5,5,-2,2
21129,-5,5,-2,2
21130,-5,5,-2,2
21131,-5,5,-2,2
21132,-5,5,-2,2
21133,-5,5,-2,2
21134,-5,5,-2,2
21135,-5,5,-2,2
21136,-5,5,-2,2
21137,-5,5,-2,2
21138,-5,5,-2,2
21139,-5,5,-2,2
21140,-5,5,-2,2
21141,-5,5,-2,2
21142,-5,5,-2,2
21143,-5,5,-2,2
21144,-5,5,-2,2
21145,-5,5,-2,2
21146,-5,5,-2,2
21148,-5,5,-2,2
21149,-5,5,-2,2
21150,-5,5,-2,2
21151,-5,5,-2,2
21152,-5,5,-3,3
21153,-5,5,-3,3
21154,-5,5,-3,3
21155,-5,5,-3,3
21156,-5,5,-3,3
21157,-5,5,-3,3
21158,-5,5,-2,2
21159,-5,5,-2,2
21160,-5,5,-2,2
21161,-5,5,-2,2
21162,-5,5,-2,2
21163,-5,5,-2,2
21164,-5,5,-2,2
21165,-5,5,-2,2
21166,-5,5,-2,2
21167,-5,5,-2,2
21168,-5,5,-2,2
21169,-5,5,-2,2
21170,-5,5,-2,2
21171,-5,5,-2,2
21172,-5,5,-2,2
21173,-5,5,-2,2
21174,-5,5,-2,2
21175,-3,3,-3,3
21176,-3,3,-3,3
21177,-3,3,-3,3
21178,-3,3,-3,3
21179,-3,3,-3,3
21180,-3,3,-3,3
21183,-3,3,-3,3
21185,-3,3,-3,3
21189,-3,3,-3,3
21191,-3,3,-3,3
21192,-3,3,-3,3
21193,-3,3,-3,3
21199,-3,3,-3,3
21200,-3,3,-3,3
21201,-3,3,-3,3
21203,-3,3,-3,3
21204,-3,3,-3,3
21205,-3,3,-3,3
21206,-3,3,-3,3
21207,-3,3,-3,3
21208,-3,3,-3,3
21209,-3,3,-3,3
21210,-3,3,-3,3
21211,-3,3,-3,3
21212,-3,3,-3,3
